003842  BRAMALLOT
003853  DATA
00387D  x
003897  TERSE
0038F3  vname
003939  CURRENT=
00394A  CONTEXT=
003959  find?
00396E  CHAIN
0039D1  LEARN
003A18  killem
003A4A  xxx
003A7C  FORGET
003A92  BASE?
003AA5  MAP
003AB5  UNX
003AC2  ASM
003AFA  .NOPS
003B07  SUBR
003B15  FORWARD
003B2D  -DUP
003B3E  schk
003B4A  <STK
003B57  u
003B62  STK>
003BA0  <STKH
003BAF  <STKD
003BBE  .cen
003BDA  .CEN
003BEC  .fork.
003C3D  offl
003C58  .hou
003C89  .HOU
003C9B  .LIST
003CA8  dmof
003CB4  dmsz
003CC0  DIR-BLOCK
003CD1  CUR-DRIVE
003CE2  SVblk
003CEF  svblk
003CFE  fileflag
003D0E  FILES
003D1D  NOFILES
003D2E  FILES?
003D3E  FCHK
003D61  DRIVE+
003D77  DBLK
003D87  DBLOCK
003DC0  DMAP
003DD0  DMAP!
003DE1  DMAP@
003DF0  FREE
003E00  INUSE
003E34  i-dmap
003E4E  freeb
003E9D  DIR-SIZE
003EAF  ALLOC-BLK
003EC0  CUR-BLK
003ECF  dtb
003EDA  ablock
003EEE  ABLOCK
003F24  CUR-PNT
003F3D  FILE-SIZE
003F50  f-e-c
003F89  DRIVE?
003F99  <DRIVE
003FB3  DRIVE>
003FC9  LOGBLK
003FD9  PBLK
003FE9  LOG-PHYS
004013  RMOVE
00402E  mlength
004091  insert
0040A1  INSERT
0040CC  INCREASE
0040E6  DELETE
004120  A!
004130  A!INIT
004148  look
00415A  dsearch
004172  l
0041BD  rmabt
0041E2  alname
004209  CREATE
00426C  dexec
004279  dscan
0042B6  dtyp
0042F1  Name
0042FD  Alloc
00430A  Size
004325  fnam?
004346  FILE
004356  save
004384  reload
0043DD  y
0043E6  nxload
0043FA  load
004403  i
0044B4  DTOD
004504  INIT-DIR
004584  DESTROY
0045C4  l.+
004601  RENAME
004677  prtfname
004685  File=
0046F5  FBSAVE
00471D  FILE-PHYS
004758  PHYS-INSERT
00477D  sdtyp
00478C  SDIR
0047A4  sdv
0047AF  finsert
004827  -FINSERT
00483B  A-FINSERT
00484E  B-FINSERT
004861  FINSERT
004884  FLOAD
0048D8  XC?
0048E3  EDIT
0048F1  DED
00493A  sflg
004946  bflg
004952  scrlist
004973  BLK=
0049BD  .SCR
0049CD  .NSCR
004A57  <BUILDS
004A9D  <<
004AB9  >>
004AEB  EX
004AF5  ED
004B1A  LED
004B22  V
004B29  NED
004B3C  FED
004B82  ADRIVE
004B92  BDRIVE
004BA2  <ADRIVE
004BB7  <BDRIVE
004BDA  FCALC
004BF3  fudge
004C0B  REPLACE
004C1E  FIX
004C73  WCMD2
004C91  VWC
004CA3  CONFIG@
004CBB  CONFIG!
004CE0  wprot
004CF4  wunprot
004D0A  WPROT
004D19  WUNPROT
004D2A  DEBUG
004D52  UNCOM
004D61  garbage
004D7C  <ASSEMBLE
004DB3  ASSEMBLE>
004DDE  FSLD
004DEC  FSYSAVE
004DFD  REFSYSAVE
004F24  comvir
004F32  crflg
004F4C  opsflg
004F5A  oldioff
004F69  pos
004F74  twid
004F80  rst
004FDD  pos+
004FF8  ioffp
005137  cr?
005201  .OPS
